Measuring onset accuracy across 6606 files...

=== OVERALL (2430 measurements) ===
  Within ±500ms:  1606 (66.1%)
  Within ±1000ms: 2079 (85.6%)
  Within ±2000ms: 2340 (96.3%)
  Median |error|: 301ms
  p90 |error|:    1222ms
  p95 |error|:    1711ms
  Mean |error|:   525ms
  Mean signed:    -474ms (positive = overestimate)

--- Per-file summary ---
file	count	<=500ms%	<=1s%	median_err	p90_err
01	23	65%	87%	381ms	1032ms
02	72	72%	89%	287ms	1001ms
03	50	62%	78%	346ms	2083ms
04	60	57%	82%	385ms	1562ms
05	37	59%	84%	413ms	1154ms
06	36	53%	69%	490ms	1595ms
07	6	67%	83%	281ms	2867ms
08	64	69%	94%	258ms	928ms
09	18	50%	67%	564ms	3263ms
1-group	1	100%	100%	8ms	8ms
10	58	60%	91%	401ms	974ms
11	39	64%	79%	341ms	1223ms
12	12	50%	83%	521ms	1349ms
12gulfwar	1	0%	0%	1133ms	1133ms
13	128	68%	84%	280ms	1362ms
14	30	73%	87%	281ms	2203ms
15	92	75%	93%	231ms	762ms
16	99	64%	90%	360ms	1062ms
17	46	57%	89%	473ms	1295ms
18	13	62%	69%	268ms	2329ms
19	52	69%	88%	280ms	1046ms
20	3	100%	100%	340ms	494ms
21	1	0%	100%	921ms	921ms
22	23	70%	78%	222ms	1303ms
23	56	61%	86%	341ms	1072ms
24	38	71%	82%	341ms	1197ms
26	11	45%	73%	626ms	1582ms
28	63	54%	73%	461ms	1930ms
29	66	76%	89%	199ms	1282ms
31	89	60%	83%	348ms	1282ms
32	99	70%	89%	292ms	1032ms
33	25	56%	84%	376ms	1180ms
34	9	56%	89%	178ms	1252ms
35	90	64%	88%	360ms	1175ms
36	110	72%	86%	300ms	1301ms
37	22	64%	73%	201ms	1283ms
38	15	93%	100%	147ms	460ms
39	29	69%	83%	192ms	1341ms
3gulfwar	1	0%	0%	1200ms	1200ms
40	2	100%	100%	419ms	419ms
41	19	58%	74%	422ms	1342ms
42	17	59%	59%	433ms	4923ms
43	50	70%	84%	288ms	1182ms
44	28	64%	71%	351ms	1610ms
45	20	80%	85%	225ms	1802ms
46	26	65%	88%	308ms	1087ms
47	48	71%	92%	271ms	949ms
48	51	65%	90%	261ms	861ms
49	62	76%	95%	233ms	630ms
4gulfwar	1	0%	100%	869ms	869ms
50	32	62%	88%	319ms	1041ms
51	69	70%	84%	301ms	1208ms
52	73	66%	85%	280ms	1461ms
53	24	75%	88%	262ms	1242ms
54	2	0%	0%	3062ms	3062ms
56	66	67%	92%	227ms	841ms
57	3	67%	67%	235ms	1289ms
58	24	67%	79%	279ms	1443ms
59	103	69%	91%	296ms	909ms
60	18	67%	78%	308ms	1661ms
9gulfwar	1	0%	100%	669ms	669ms
amy	1	100%	100%	0ms	0ms
ateret	1	0%	0%	1552ms	1552ms
jennifer	1	0%	100%	579ms	579ms
owen	1	0%	0%	1301ms	1301ms
