file	top_idx	bot_idx	top_spk	bot_spk	top_start	top_end	bot_start	bot_end	fraction	est_onset	actual_onset	error_ms	abs_error	<=500ms	<=1s	<=2s
01	2	3	LENO	LYNN	16316	17077	16717	20181	0.000	16316	16717	-401	401	Y	Y	Y
01	4	5	DORI	LYNN	22866	23426	23007	23567	0.500	23146	23007	139	139	Y	Y	Y
01	49	50	LENO	LYNN	131284	131924	131885	140484	0.333	131497	131885	-388	388	Y	Y	Y
01	145	146	LYNN	LENO	351716	353178	352878	353678	0.286	352133	352878	-745	745	N	Y	Y
01	164	165	LENO	LYNN	401062	401562	401362	403484	0.000	401062	401362	-300	300	Y	Y	Y
01	205	206	LYNN	LENO	515480	516961	516681	520044	0.800	516664	516681	-17	17	Y	Y	Y
01	241	242	LENO	LYNN	636964	637464	637505	650064	0.000	636964	637505	-541	541	N	Y	Y
01	290	291	DORI	LYNN	766822	768044	769165	773128	1.000	768044	769165	-1121	1121	N	N	Y
01	395	396	LYNN	LENO	1003752	1008297	1007917	1008758	0.917	1007918	1007917	1	1	Y	Y	Y
01	435	436	LYNN	LENO	1094900	1095540	1095101	1096963	0.000	1094900	1095101	-201	201	Y	Y	Y
01	454	455	LENO	LYNN	1126430	1127531	1127171	1128731	0.000	1126430	1127171	-741	741	N	Y	Y
01	462	463	LENO	LYNN	1131354	1131854	1131694	1132534	0.000	1131354	1131694	-340	340	Y	Y	Y
01	472	473	LYNN	LENO	1144092	1145073	1144873	1145573	0.000	1144092	1144873	-781	781	N	Y	Y
01	516	517	DORI	LYNN	1225729	1226550	1226190	1228092	0.000	1225729	1226190	-461	461	Y	Y	Y
01	571	572	LYNN	DORI	1312342	1314303	1314163	1315824	0.571	1313462	1314163	-701	701	N	Y	Y
01	575	576	LENO	LYNN	1322779	1323720	1323400	1323940	0.750	1323484	1323400	84	84	Y	Y	Y
01	580	581	LYNN	DORI	1326444	1327144	1326825	1327805	0.000	1326444	1326825	-381	381	Y	Y	Y
01	586	587	DORI	LYNN	1333895	1336878	1336959	1344470	0.611	1335717	1336959	-1242	1242	N	N	Y
