file	utterances	with_markers	⌈	⌉	⌊	⌋	cross_pairs	timed_pairs	temporal_ok	quality
003_Moramin1	25	13	7	0	7	0	7	0	0	open_only
004_Moramin2	27	10	5	0	5	0	5	0	0	open_only
006_Samen_Bessler1	18	7	4	0	4	0	4	0	0	open_only
007_Samen_Bessler2	22	6	3	2	3	2	3	0	0	fully_paired
008_schwerer_Unfall1	6	2	1	0	1	2	1	0	0	mixed
009_schwerer_Unfall2	5	4	2	2	2	2	2	0	0	fully_paired
010_schwerer_Unfall3	8	4	2	2	2	2	2	0	0	fully_paired
011_schwerer_Unfall4	8	4	2	2	2	2	2	0	0	fully_paired
012_schwerer_Unfall5	13	9	5	2	5	2	5	0	0	fully_paired
013_Samen_Bessler3	24	3	2	0	2	0	2	0	0	open_only
014_Samen_Bessler4	9	4	2	0	2	0	2	0	0	open_only
015_Samen_Bessler5	18	12	7	2	7	2	7	0	0	fully_paired
016_Samen_Bessler6	9	6	3	2	3	2	3	0	0	fully_paired
017_Samen_Bessler7	19	8	4	3	4	3	4	0	0	fully_paired
019_Reichenauer_Allee1	22	15	8	1	8	1	8	0	0	fully_paired
020_Reichenauer_Allee2	23	16	9	7	9	7	9	0	0	fully_paired
022_Tierkadaver	35	25	15	0	15	4	15	0	0	mixed
026_Egon_Lutzweg_Unfall	16	9	7	1	7	3	7	0	0	fully_paired
027_Schwarzhoelzle1	19	12	8	0	8	0	8	0	0	open_only
028_Schwarzhoelzle2	12	6	3	3	3	3	3	0	0	fully_paired
036_Bernhardiner1	19	2	1	1	1	1	1	0	0	fully_paired
037_Bernhardiner2	15	12	6	3	6	3	6	0	0	fully_paired
038_Bernhardiner3	40	14	8	3	8	3	8	0	0	fully_paired
040_Bernhardiner4	20	10	5	1	5	1	5	0	0	fully_paired
041_Bernhardiner5	25	17	10	4	10	4	10	0	0	fully_paired
042_beissender_Geruch1	67	27	15	2	15	2	15	0	0	fully_paired
043_beissender_Geruch2	18	6	3	0	3	0	3	0	0	open_only
044_krankenhaus	10	2	1	1	1	1	1	0	0	fully_paired
048_der_Hamann	15	7	4	4	5	5	4	0	0	fully_paired
049_Fensterscheibe1	12	6	3	3	3	3	3	0	0	fully_paired
050_Fensterscheibe2	21	5	3	3	3	3	3	0	0	fully_paired
053_Wasser_im_Keller1	21	6	3	3	3	3	3	0	0	fully_paired
055_Wasser_im_Keller2	21	11	6	6	6	6	6	0	0	fully_paired
064_65_tuerkischer_Vater	29	11	6	4	6	4	6	0	0	fully_paired
067_weisser_Toyota1	20	4	2	2	2	2	2	0	0	fully_paired
069_weisser_Toyota2	15	9	5	4	5	5	5	0	0	fully_paired
071_weisser_Toyota3	42	12	6	6	6	6	6	0	0	fully_paired
072_bewegungsunfaehige_Person1	25	19	11	11	11	11	11	0	0	fully_paired
073_bewegungsunfaehige_Person2	11	4	2	2	2	2	2	0	0	fully_paired
074_bewegungsunfaehige_Person3	5	2	1	1	1	1	1	0	0	fully_paired
076_Badewanne_verstopft1	24	4	2	2	2	2	2	0	0	fully_paired
077_Badewanne_verstopft2	24	12	6	6	6	6	6	0	0	fully_paired
078_Falschanruf	14	3	2	2	2	2	2	0	0	fully_paired
079_Benzin_ausgelaufen	17	4	2	2	2	2	2	0	0	fully_paired
082_Aerztlicher_Notruf	10	2	1	1	1	1	1	0	0	fully_paired
083_Luftpumpe	22	6	3	3	3	3	3	0	0	fully_paired
084_Feuerstelle_kein_Brand	27	9	5	5	5	5	5	0	0	fully_paired
085_Marder1	18	4	2	2	2	2	2	0	0	fully_paired
086_Marder2	83	23	12	12	12	12	12	0	0	fully_paired
087_Marder3	18	4	2	2	2	2	2	0	0	fully_paired
