artifact	audience	doc_type	risk	status	notes
talkbank-tools/.claude/skills/debug-parse/SKILL.md	developer	reference	medium	unreviewed	
talkbank-tools/.claude/skills/doc-write/SKILL.md	developer	reference	medium	unreviewed	
talkbank-tools/.claude/skills/spec/SKILL.md	developer	reference	medium	unreviewed	
talkbank-tools/.github/copilot-instructions.md	developer	reference	medium	unreviewed	
talkbank-tools/CLAUDE.md	developer	reference	medium	unreviewed	
talkbank-tools/CONTRIBUTING.md	developer	reference	high	unreviewed	priority-1
talkbank-tools/README.md	user	reference	critical	unreviewed	priority-1
talkbank-tools/SECURITY.md	developer	reference	medium	unreviewed	
talkbank-tools/book/src/SUMMARY.md	developer	book	medium	unreviewed	
talkbank-tools/book/src/architecture/algorithms.md	developer	architecture	medium	unreviewed	
talkbank-tools/book/src/architecture/alignment.md	developer	architecture	medium	unreviewed	
talkbank-tools/book/src/architecture/async-rust-analysis.md	developer	architecture	medium	unreviewed	
talkbank-tools/book/src/architecture/batchalign-warnings-audit.md	developer	architecture	medium	unreviewed	
talkbank-tools/book/src/architecture/check-parity-audit.md	developer	architecture	medium	unreviewed	
talkbank-tools/book/src/architecture/concurrency.md	developer	architecture	medium	unreviewed	
talkbank-tools/book/src/architecture/crate-reference.md	developer	architecture	medium	unreviewed	
talkbank-tools/book/src/architecture/data-model.md	developer	architecture	medium	unreviewed	
talkbank-tools/book/src/architecture/end-user-experience.md	developer	architecture	medium	unreviewed	
talkbank-tools/book/src/architecture/error-diagnostics-ux.md	developer	architecture	medium	unreviewed	
talkbank-tools/book/src/architecture/error-system.md	developer	architecture	medium	unreviewed	
talkbank-tools/book/src/architecture/executive-summary.md	developer	architecture	medium	unreviewed	
talkbank-tools/book/src/architecture/grammar-governance.md	developer	architecture	medium	unreviewed	
talkbank-tools/book/src/architecture/grammar-redesign.md	developer	architecture	medium	unreviewed	
talkbank-tools/book/src/architecture/grammar-stakeholders.md	developer	architecture	medium	unreviewed	
talkbank-tools/book/src/architecture/grammar.md	developer	architecture	medium	unreviewed	
talkbank-tools/book/src/architecture/leniency-policy.md	developer	architecture	medium	unreviewed	
talkbank-tools/book/src/architecture/memory-and-ownership.md	developer	architecture	medium	unreviewed	
talkbank-tools/book/src/architecture/option-result-audit.md	developer	architecture	medium	unreviewed	
talkbank-tools/book/src/architecture/overview.md	developer	architecture	medium	unreviewed	
talkbank-tools/book/src/architecture/parser-error-recovery.md	developer	architecture	medium	unreviewed	
talkbank-tools/book/src/architecture/parser-model-contracts.md	developer	architecture	medium	unreviewed	
talkbank-tools/book/src/architecture/parsing.md	developer	architecture	medium	unreviewed	
talkbank-tools/book/src/architecture/passive-stub-migration.md	developer	architecture	medium	unreviewed	
talkbank-tools/book/src/architecture/performance-future-work.md	developer	architecture	medium	unreviewed	
talkbank-tools/book/src/architecture/performance-optimizations.md	developer	architecture	medium	unreviewed	
talkbank-tools/book/src/architecture/permissiveness-regression.md	developer	architecture	medium	unreviewed	
talkbank-tools/book/src/architecture/repo-architecture.md	developer	architecture	medium	unreviewed	
talkbank-tools/book/src/architecture/risk-register.md	developer	architecture	medium	unreviewed	
talkbank-tools/book/src/architecture/sentinel-audit.md	developer	architecture	medium	unreviewed	
